FUNCTION	Actinobaculum schaalii FB123-CNA-2 AGWM01	Actinobaculum schaalii DSM 15541 AUBK01	Actinobaculum sp. oral taxon 183 str. F0552 AWSB01	Actinobaculum massiliae ACS-171-V-Col2 AGWL01	Actinobaculum urinale DSM 15805 ATUY01	Actinoalloteichus cyanogriseus JOAL01	Actinocatenispora sera JOEG01	Actinoalloteichus cyanogriseus DSM 43889 AUBJ01	Actinoalloteichus cyanogriseus JODV01	Actinokineospora enzanensis DSM 44649 ARFV01	
Alpha-mannosidase (EC 3.2.1.24)	0	0	0	0	0	0	2	0	0	0	
Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	0	0	0	0	0	0	1	0	0	0	
Alpha-xylosidase (EC 3.2.1.-)	1	0	0	0	0	1	0	1	1	0	
Alternative dihydrofolate reductase 3	0	0	0	0	0	0	1	0	0	0	
Amidases related to nicotinamidase	0	0	0	0	0	1	0	1	0	1	
Amidophosphoribosyltransferase (EC 2.4.2.14)	0	0	1	1	0	0	1	1	1	1	
Aminodeoxychorismate lyase (EC 4.1.3.38)	0	0	0	0	0	3	1	3	3	3	
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	0	0	0	0	0	1	1	1	1	1	
Aminopeptidase C (EC 3.4.22.40)	1	1	1	3	1	0	1	0	0	0	
Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.15)	1	0	0	0	0	2	1	2	2	7	
Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	0	0	0	0	0	2	1	2	2	1	
Ammonium transporter	0	0	0	0	0	1	1	1	1	1	
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	0	0	1	0	0	0	0	0	0	0	
Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	0	0	1	0	0	0	0	0	0	0	
Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	0	0	1	0	0	0	0	0	0	0	
Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	0	0	0	0	0	1	1	1	1	0	
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	1	1	1	1	1	1	1	1	1	1	
Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	1	1	1	0	1	1	1	1	1	1	
Anthranilate synthase, aminase component (EC 4.1.3.27)	1	1	1	0	1	1	1	1	1	1	
Anti-sigma B factor antagonist RsbV	0	0	0	0	0	1	3	2	1	4	
Antibiotic biosynthesis monooxygenase	0	0	0	0	0	1	1	1	1	3	
Apolipoprotein N-acyltransferase (EC 2.3.1.-)	0	0	0	0	0	0	1	0	0	0	
Apolipoprotein N-acyltransferase (EC 2.3.1.-) in lipid-linked oligosaccharide synthesis cluster	1	1	1	1	1	1	1	1	1	1	
Arabinose 5-phosphate isomerase (EC 5.3.1.13)	1	0	0	0	0	0	0	0	0	0	
Arabinose-proton symporter	0	1	0	0	1	0	0	0	0	0	
Archaeal seryl-tRNA synthetase-related sequence	0	0	0	0	0	0	0	0	0	1	
Arginase (EC 3.5.3.1)	0	0	0	0	0	1	1	1	1	0	
Arginine decarboxylase (EC 4.1.1.19)	0	0	0	0	0	0	0	0	0	2	
Arginine deiminase (EC 3.5.3.6)	0	0	1	1	0	1	2	1	1	1	
Arginine pathway regulatory protein ArgR, repressor of arg regulon	1	1	1	0	1	1	1	1	1	1	
Arginine/ornithine antiporter ArcD	1	1	0	1	0	0	2	0	0	1	
Argininosuccinate lyase (EC 4.3.2.1)	1	1	1	0	1	3	1	3	3	1	
Argininosuccinate synthase (EC 6.3.4.5)	1	1	1	0	1	1	1	1	1	1	
Arginyl-tRNA synthetase (EC 6.1.1.19)	1	1	1	1	1	1	2	2	1	2	
Arogenate dehydrogenase (EC 1.3.1.43)	1	1	1	1	1	1	1	1	1	1	
Aromatase WhiE VI	0	0	0	0	0	1	0	1	1	3	
Aromatic amino acid transport protein AroP	1	1	1	1	1	0	0	0	0	0	
Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	1	1	1	1	1	1	1	1	1	1	
Arsenate reductase (EC 1.20.4.1)	0	0	0	0	0	2	1	2	2	1	
Arsenic efflux pump protein	0	0	0	0	0	0	1	0	0	1	
Arsenical pump-driving ATPase (EC 3.6.3.16)	0	0	0	0	0	4	2	4	4	3	
Arsenical resistance operon repressor	0	0	0	0	0	1	4	1	1	1	
Arsenical-resistance protein ACR3	0	0	0	0	0	1	1	1	1	1	
Arylsulfatase (EC 3.1.6.1)	0	0	0	0	0	0	1	0	0	0	
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	0	0	0	0	0	2	3	1	1	7	
Aspartate 1-decarboxylase (EC 4.1.1.11)	0	0	1	1	0	2	2	2	2	1	
Aspartate aminotransferase (EC 2.6.1.1)	2	2	2	2	2	3	11	4	5	9	
Aspartate ammonia-lyase (EC 4.3.1.1)	0	0	0	0	0	0	0	0	0	1	
Aspartate carbamoyltransferase (EC 2.1.3.2)	0	0	1	0	0	1	1	1	1	1	
Aspartate racemase (EC 5.1.1.13)	0	0	0	0	0	0	1	0	0	3	
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	1	1	1	1	1	1	2	1	1	1	
Aspartokinase (EC 2.7.2.4)	1	1	1	1	1	1	1	1	1	3	
Aspartyl-tRNA synthetase (EC 6.1.1.12)	1	1	1	1	1	1	2	1	1	2	
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)	2	2	1	1	1	1	5	1	1	4	
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6)	1	1	1	1	1	1	1	1	1	1	
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6)	1	1	0	1	1	1	1	1	1	1	
Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	1	1	1	1	1	1	2	1	1	2	
Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	0	0	0	0	0	2	0	2	2	0	
B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	0	0	0	0	0	0	1	0	0	0	
Bacterial proteasome-activating AAA-ATPase (PAN)	0	0	1	2	1	1	1	1	1	1	
Benzoate transport protein	0	0	0	0	0	0	0	0	0	1	
Benzoate transport, extracellular ligand-binding receptor	0	0	0	0	0	0	1	0	0	0	
Benzoate-CoA ligase (EC 6.2.1.25)	0	0	0	0	0	0	0	0	0	1	
Benzoylformate decarboxylase (EC 4.1.1.7)	0	0	0	0	0	0	0	0	0	1	
Beta-1,3-glucosyltransferase	1	1	0	0	0	0	0	0	0	0	
Beta-carotene ketolase (EC 1.14.-.-)	0	0	0	0	0	0	1	0	0	1	
Beta-galactosidase (EC 3.2.1.23)	2	3	0	1	1	5	7	6	6	5	
Beta-glucanase precursor (EC 3.2.1.73)	0	0	1	0	0	0	0	0	0	0	
Beta-glucosidase (EC 3.2.1.21)	2	0	1	0	1	3	5	3	3	3	
Beta-glucoside bgl operon antiterminator, BglG family	0	0	1	0	0	0	0	0	0	0	
Beta-glucuronidase (EC 3.2.1.31)	0	0	0	1	1	0	0	0	0	0	
Beta-hexosaminidase (EC 3.2.1.52)	0	0	0	0	0	2	10	3	3	4	
Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	0	0	1	0	0	7	6	5	6	5	
Beta-lactamase (Cephalosporinase) (EC 3.5.2.6)	0	0	0	0	0	1	2	1	1	1	
Beta-lactamase (EC 3.5.2.6)	0	0	0	0	0	2	6	1	3	2	
Beta-lactamase class A	0	0	0	0	0	1	0	1	1	0	
Beta-lactamase class C and other penicillin binding proteins	1	1	1	1	1	2	8	2	2	3	
Beta-mannosidase (EC 3.2.1.25)	0	0	0	0	0	1	0	1	1	0	
Beta-phosphoglucomutase (EC 5.4.2.6)	0	0	0	0	0	0	1	0	0	2	
Beta-xylosidase (EC 3.2.1.37)	0	0	0	0	0	0	0	1	1	0	
Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57)	1	1	0	0	0	0	0	0	0	0	
Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57)	0	0	1	1	1	1	1	1	1	1	
Biotin carboxyl carrier protein	0	0	0	0	0	1	1	1	1	0	
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	1	1	1	1	1	2	1	2	2	4	
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	1	1	1	1	1	2	1	2	2	4	
Biotin carboxylase of methylcrotonyl-CoA carboxylase (EC 6.3.4.14)	0	0	0	0	0	0	1	0	0	0	
Biotin synthase (EC 2.8.1.6)	0	0	0	0	0	1	0	1	1	2	
Biotin synthesis protein BioC	0	0	0	1	0	0	0	0	0	0	
Biotin synthesis protein BioH	0	0	0	0	0	0	1	0	0	0	
Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	0	0	0	0	0	0	0	0	0	1	
Bipolar DNA helicase HerA	0	0	0	0	0	0	1	0	0	0	
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	0	0	0	0	0	1	1	1	1	0	
Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12)	0	0	0	0	0	1	0	1	1	0	
Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	0	0	0	0	0	1	3	1	1	1	
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	1	1	1	1	1	1	1	2	2	2	
Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	0	0	0	0	0	1	3	1	1	3	
Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	0	0	0	0	0	2	3	2	2	2	
Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	0	0	0	0	0	1	3	2	2	1	
Butyryl-CoA dehydrogenase (EC 1.3.8.1)	1	1	0	1	1	0	0	0	0	1	
C-terminal domain of CinA type S	1	1	1	1	1	1	1	1	1	1	
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	0	0	0	0	0	0	5	3	3	3	
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	0	0	0	0	0	0	1	1	1	1	
CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase	0	0	0	0	0	0	1	0	0	0	
CO dehydrogenase accessory protein CooC (nickel insertion)	0	0	0	0	0	0	0	0	0	1	
COG0613, Predicted metal-dependent phosphoesterases (PHP family)	1	1	0	1	1	1	1	1	1	1	
COG1496: Uncharacterized conserved protein	1	1	1	1	1	1	0	1	1	1	
COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster	0	0	0	0	0	0	0	0	0	1	
COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	0	0	1	0	0	1	0	0	0	1	
CRISPR-associated RecB family exonuclease Cas4a	0	0	0	0	0	0	0	1	0	0	
CRISPR-associated helicase Cas3	1	1	1	1	0	3	0	2	3	1	
CRISPR-associated negative autoregulator, Cst2 family	0	0	0	0	0	0	0	1	0	0	
CRISPR-associated protein Cas1	1	1	1	1	0	2	0	2	2	0	
CRISPR-associated protein Cas2	0	0	0	0	0	1	0	2	1	0	
CRISPR-associated protein, Cas2	1	1	1	0	0	1	0	0	1	0	
CRISPR-associated protein, Cas5d family	0	0	0	0	0	1	0	1	1	0	
CRISPR-associated protein, Cas5e family	1	1	1	1	0	1	0	1	1	1	
CRISPR-associated protein, Cas5t family	0	0	0	0	0	0	0	1	0	0	
CRISPR-associated protein, Csd1 family	0	0	0	0	0	1	0	1	1	0	
CRISPR-associated protein, Csd2 family	0	0	0	0	0	1	0	1	1	0	
CRISPR-associated protein, Cse1 family	0	0	1	1	0	2	0	2	2	0	
CRISPR-associated protein, Cse2 family	0	0	0	0	0	1	0	0	1	1	
CRISPR-associated protein, Cse3 family	1	1	1	1	0	1	0	0	1	1	
CRISPR-associated protein, Cse4 family	1	1	1	1	0	1	0	1	1	1	
CTP synthase (EC 6.3.4.2)	0	0	1	0	1	1	1	1	1	1	
CTP:molybdopterin cytidylyltransferase	0	0	0	0	0	1	1	1	1	1	
Carbamate kinase (EC 2.7.2.2)	1	1	0	2	0	0	1	0	0	0	
Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	0	0	1	0	1	2	1	2	2	1	
Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	0	0	1	0	1	1	1	1	1	1	
Carbon monoxide dehydrogenase form I, large chain (EC 1.2.99.2)	0	0	0	0	0	0	1	0	0	0	
Carbon monoxide dehydrogenase large chain (EC 1.2.99.2)	0	0	0	0	0	0	1	0	0	1	
Carbon monoxide dehydrogenase medium chain (EC 1.2.99.2)	0	0	0	0	0	0	2	0	0	1	
Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)	0	0	0	0	0	0	2	0	0	1	
Carbon starvation protein A	1	1	1	1	1	1	0	1	1	0	
Carbon storage regulator	0	0	0	0	0	0	0	0	0	1	
Carbonic anhydrase (EC 4.2.1.1)	0	0	0	0	0	3	2	3	3	3	
Carboxypeptidase T (EC 3.4.17.18)	0	0	0	0	0	1	0	1	1	3	
Cardiolipin synthetase (EC 2.7.8.-)	1	1	1	1	1	0	0	0	0	0	
Carotenoid cis-trans isomerase (EC 5.2.-.-)	0	0	0	0	0	2	0	2	2	0	
Catalase (EC 1.11.1.6)	0	0	0	0	0	2	2	2	2	2	
Catechol 1,2-dioxygenase 1 (EC 1.13.11.1)	0	0	0	0	0	0	0	0	0	3	
CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase	0	0	1	1	0	0	0	0	0	1	
Ccs1/ResB-related putative cytochrome C-type biogenesis protein	0	0	0	0	0	1	1	1	1	1	
Cell division inhibitor	0	0	0	0	0	1	1	1	1	1	
Cell division initiation protein DivIVA	1	1	1	1	1	0	1	0	0	0	
Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage	1	1	1	1	1	1	1	1	1	1	
Cell division protein FtsH (EC 3.4.24.-)	2	2	2	2	2	4	3	3	4	2	
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	2	2	2	2	2	3	3	3	3	4	
Cell division protein FtsK	2	1	1	1	1	2	3	2	2	3	
Cell division protein FtsL	0	0	1	0	0	1	1	1	1	1	
Cell division protein FtsQ	1	1	1	1	1	1	1	1	1	1	
Cell division protein FtsW	2	2	2	2	2	1	2	2	2	2	
Cell division protein FtsX	2	2	1	1	1	1	1	1	1	1	
Cell division protein FtsZ (EC 3.4.24.-)	1	1	1	1	1	1	1	1	1	1	
Cell division protein MraZ	1	1	1	1	1	1	1	1	1	1	
Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)	1	2	3	1	1	1	1	1	1	1	
Cell division trigger factor (EC 5.2.1.8)	1	1	1	1	1	1	1	1	1	1	
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	1	1	1	2	2	4	2	4	4	4	
Chalcone synthase (EC 2.3.1.74)	0	0	0	0	0	0	1	0	0	1	
Chaperone protein DnaJ	2	2	2	2	2	3	2	3	3	5	
Chaperone protein DnaK	1	1	1	1	1	1	2	1	1	4	
Chaperone protein HscA	0	0	0	0	0	1	0	1	1	0	
Chaperone protein HtpG	0	0	0	0	0	2	1	2	2	1	
Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)	0	0	0	0	0	0	0	0	0	2	
Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY	0	0	0	0	0	0	0	0	0	2	
Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)	0	0	0	0	0	0	0	0	0	2	
Chitin binding protein	0	0	0	0	0	1	0	3	3	2	
Chitinase (EC 3.2.1.14)	1	0	0	0	0	2	4	2	2	9	
Chitodextrinase precursor (EC 3.2.1.14)	0	0	0	0	0	0	0	0	0	1	
ChlD component of cobalt chelatase involved in B12 biosynthesis	0	0	0	0	0	0	0	0	0	1	
ChlI component of cobalt chelatase involved in B12 biosynthesis	0	0	0	0	0	0	0	0	0	1	
Choline binding protein A	0	0	1	0	0	0	0	0	0	0	
Choline binding protein D	0	0	0	0	0	0	0	0	0	1	
Choline dehydrogenase (EC 1.1.99.1)	0	0	0	0	0	0	0	0	0	3	
Choline-sulfatase (EC 3.1.6.6)	0	0	0	0	0	0	3	0	0	1	
Chorismate mutase I (EC 5.4.99.5)	1	1	1	1	1	0	1	1	0	1	
Chorismate synthase (EC 4.2.3.5)	1	1	1	1	1	1	1	1	1	1	
Chromosomal replication initiator protein DnaA	1	1	1	1	1	1	1	1	1	1	
Chromosome (plasmid) partitioning protein ParA	3	2	3	2	3	2	2	2	2	3	
Chromosome (plasmid) partitioning protein ParB	1	1	1	1	1	1	1	1	1	1	
Chromosome initiation inhibitor	0	0	0	0	0	0	1	0	0	2	
Chromosome partition protein smc	1	1	0	1	1	1	1	1	1	1	
Citrate lyase beta chain (EC 4.1.3.6)	0	0	0	0	0	0	1	0	0	0	
Citrate synthase (si) (EC 2.3.3.1)	0	0	0	0	0	4	3	4	4	2	
ClpB protein	1	1	1	1	1	1	1	1	1	1	
Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	0	0	0	0	0	0	0	0	0	1	
CobN component of cobalt chelatase involved in B12 biosynthesis	0	0	0	0	0	0	0	0	0	1	
Cobalamin biosynthesis protein BluB	0	0	0	0	0	0	0	0	0	1	
Cobalamin biosynthesis protein CobG	0	0	0	0	0	0	0	0	0	1	
Cobalamin synthase (EC 2.7.8.26)	0	0	0	0	0	0	1	0	0	1	
Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	0	0	0	0	0	0	0	0	0	1	
Cobalt-precorrin-3b C17-methyltransferase	0	0	0	0	0	0	0	0	0	1	
Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	0	0	0	0	0	0	0	0	0	2	
Cobalt-precorrin-6x reductase (EC 1.3.1.54)	0	0	0	0	0	0	0	0	0	1	
Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	0	0	0	0	0	0	0	0	0	2	
Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	0	0	0	0	0	0	0	0	0	2	
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	0	0	0	0	0	0	0	0	0	1	
Cobalt-zinc-cadmium resistance protein	1	1	1	1	1	0	2	0	0	0	
Cobalt-zinc-cadmium resistance protein CzcD	1	1	2	1	1	1	1	1	1	1	
Cobyric acid synthase (EC 6.3.5.10)	0	0	0	0	0	0	1	0	0	1	
Cobyrinic acid A,C-diamide synthase	0	0	0	0	0	0	1	0	0	1	
Coenzyme F420-0:L-glutamate ligase	0	0	0	0	0	1	1	1	1	1	
Coenzyme F420-1:L-glutamate ligase	0	0	0	0	0	1	1	1	1	1	
Cold shock protein CspA	0	0	0	0	0	2	4	2	2	5	
Cold shock protein CspC	1	1	1	1	1	1	1	1	1	1	
Competence protein F homolog, phosphoribosyltransferase domain	1	1	1	1	0	0	1	1	1	2	
Conserved hypothetical integral membrane protein YrbE1A	0	0	0	0	0	0	1	0	0	1	
Conserved hypothetical integral membrane protein YrbE1B	0	0	0	0	0	0	1	0	0	1	
Conserved hypothetical protein potentially related to ribose or hydroxymethylpyrimidine metabolism	0	0	0	0	0	1	1	1	1	0	
Conserved membrane protein in copper uptake, YcnI	0	0	0	0	0	1	1	2	1	1	
Copper binding protein, plastocyanin/azurin family	0	0	0	0	0	1	0	1	1	1	
Copper chaperone	0	1	1	0	0	1	1	1	1	1	
Copper homeostasis protein CutE	0	0	0	0	0	0	1	0	0	0	
Copper metallochaperone, bacterial analog of Cox17 protein	0	0	0	0	0	0	0	1	1	0	
Copper resistance protein CopC	0	0	0	0	0	2	0	2	2	2	
Copper resistance protein CopD	0	0	0	0	0	0	1	0	0	1	
Copper resistance protein D	0	0	0	0	0	1	2	1	1	2	
Copper(I) chaperone CopZ	0	0	0	0	1	0	0	0	0	0	
Copper-translocating P-type ATPase (EC 3.6.3.4)	1	1	2	1	1	4	3	4	4	3	
Creatinine amidohydrolase (EC 3.5.2.10)	0	0	0	0	0	0	1	0	0	2	
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1	1	1	1	1	1	1	1	1	1	
Crotonyl-CoA carboxylase/reductase, ethylmalonyl-CoA producing	0	0	0	0	0	0	0	0	0	1	
CrtT-methyltransferase-like protein	0	0	0	0	0	1	0	1	1	0	
CrtV-methyltransferase-like protein	0	0	0	0	0	1	0	1	1	0	
Cyanoglobin	0	0	0	0	0	0	1	0	0	0	
Cys-tRNA(Pro) deacylase YbaK	1	1	1	1	0	2	2	2	2	4	
Cystathionine beta-lyase, type II (EC 4.4.1.8)	1	1	1	1	1	0	0	0	0	0	
Cystathionine beta-synthase (EC 4.2.1.22)	0	0	0	0	0	1	1	1	1	1	
Cystathionine gamma-lyase (EC 4.4.1.1)	1	1	0	0	0	3	2	3	3	2	
Cystathionine gamma-synthase (EC 2.5.1.48)	0	0	1	1	0	0	0	0	0	0	
Cysteine desulfurase (EC 2.8.1.7)	0	0	0	0	0	4	4	4	4	7	
Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	1	1	1	1	1	1	1	1	1	2	
Cysteine synthase (EC 2.5.1.47)	1	1	1	1	1	1	0	1	1	4	
Cysteine synthase B (EC 2.5.1.47)	0	0	0	0	0	2	2	2	2	2	
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	1	1	1	1	1	1	1	1	1	1	
Cytidine deaminase (EC 3.5.4.5)	0	0	1	1	0	1	2	1	1	1	
Cytidylate kinase (EC 2.7.4.25)	1	1	0	1	1	1	1	1	1	1	
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	0	0	0	0	0	2	5	2	2	1	
Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	0	0	0	0	0	1	1	1	1	1	
Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	0	0	0	0	0	1	1	1	1	1	
Cytochrome c-type biogenesis protein CcdA (DsbD analog)	0	0	0	0	0	1	1	1	1	1	
Cytochrome c-type biogenesis protein CcsA/ResC	0	0	0	0	0	1	1	1	1	1	
Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	0	0	0	0	0	0	0	0	0	1	
Cytochrome c551/c552	0	0	0	0	0	4	0	6	4	0	
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	1	1	1	1	1	1	2	1	1	1	
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	1	1	1	1	1	1	2	1	1	1	
Cytochrome oxidase biogenesis protein Surf1, facilitates heme A insertion	0	0	0	0	0	0	1	1	0	0	
Cytoplasmic alpha-amylase (EC 3.2.1.1)	0	0	1	0	0	0	0	0	0	0	
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	1	1	1	1	1	0	1	0	0	0	
Cytoplasmic membrane protein FsxA	1	0	0	0	0	1	1	1	1	1	
Cytosine deaminase (EC 3.5.4.1)	1	1	0	2	0	0	1	0	0	1	
Cytosine permease	0	0	0	1	0	1	0	1	1	0	
Cytosine/purine/uracil/thiamine/allantoin permease family protein	3	3	0	2	2	1	1	0	0	1	
Cytosol aminopeptidase PepA (EC 3.4.11.1)	0	0	0	1	1	2	2	2	2	2	
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1	1	5	1	1	8	9	9	9	5	
D-alanine--D-alanine ligase (EC 6.3.2.4)	2	2	2	2	2	3	3	3	3	2	
D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)	0	0	0	0	0	0	0	0	0	1	
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	1	1	1	1	1	5	4	5	5	5	
D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	0	0	0	0	0	1	0	1	1	0	
D-amino-acid oxidase (EC 1.4.3.3)	0	0	0	0	0	0	3	0	0	1	
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	0	0	0	0	0	2	1	2	2	2	
D-cysteine desulfhydrase (EC 4.4.1.15)	0	0	0	0	0	1	0	1	1	0	
D-galactonate transporter	0	0	0	0	0	1	1	1	1	0	
D-glycerate 2-kinase (EC 2.7.1.-)	0	0	0	0	0	0	1	0	0	0	
D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	0	0	0	0	0	2	0	2	2	0	
D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	0	0	0	0	0	1	0	1	1	0	
D-glycero-beta-D-manno-heptose 7-phosphate kinase	0	0	0	0	0	2	0	2	2	0	
D-lactate dehydrogenase (EC 1.1.1.28)	0	0	0	0	0	0	1	0	0	1	
D-mannonate oxidoreductase (EC 1.1.1.57)	1	1	0	1	1	0	0	0	0	0	
D-serine dehydratase (EC 4.3.1.18)	1	1	0	1	1	0	0	0	0	0	
D-serine/D-alanine/glycine transporter	0	0	1	0	1	0	0	0	0	0	
D-xylose transport ATP-binding protein XylG	0	0	0	0	0	1	0	1	1	0	
DHA-specific IIA component	0	0	0	0	0	1	0	1	1	1	
DHA-specific phosphocarrier protein HPr	0	0	0	0	0	1	0	1	1	1	
DNA gyrase subunit A (EC 5.99.1.3)	1	1	1	1	1	1	1	1	1	1	
DNA gyrase subunit B (EC 5.99.1.3)	1	1	1	1	1	1	1	1	1	1	
DNA helicase, phage-associated	0	0	0	2	3	0	0	0	0	1	
DNA integrity scanning protein DisA	0	0	0	0	0	0	0	0	0	1	
DNA ligase (EC 6.5.1.2)	1	1	1	1	1	1	2	1	1	1	
DNA polymerase I (EC 2.7.7.7)	1	1	1	4	4	2	3	2	2	4	
DNA polymerase III alpha subunit (EC 2.7.7.7)	2	2	2	2	1	2	2	3	3	2	
DNA polymerase III beta subunit (EC 2.7.7.7)	1	1	1	1	1	2	1	2	2	2	
DNA polymerase III delta prime subunit (EC 2.7.7.7)	0	0	0	0	0	0	1	0	0	0	
DNA polymerase III delta subunit (EC 2.7.7.7)	0	0	0	0	0	0	1	0	0	0	
DNA polymerase III epsilon subunit (EC 2.7.7.7)	1	1	2	2	1	0	2	0	0	1	
DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	1	1	1	1	1	0	1	1	1	1	
DNA polymerase IV (EC 2.7.7.7)	1	1	1	1	1	1	1	1	1	2	
DNA polymerase IV-like protein ImuB	1	1	1	0	0	0	0	0	0	0	
DNA polymerase-like protein MT3142	0	0	0	0	0	0	1	0	0	0	
DNA primase (EC 2.7.7.-)	1	1	1	1	1	1	2	2	1	3	
DNA primase/helicase, phage-associated	0	0	0	2	3	0	0	0	0	0	
DNA recombination and repair protein RecF	1	1	1	1	1	1	1	1	1	1	
DNA recombination and repair protein RecO	1	1	1	1	1	1	1	1	1	1	
DNA recombination protein RmuC	1	1	1	1	1	1	1	1	1	1	
DNA repair protein RadA	1	1	1	1	1	1	1	1	1	2	
DNA repair protein RecN	1	1	1	1	1	1	1	1	1	1	
DNA topoisomerase I (EC 5.99.1.2)	1	1	1	1	1	1	1	1	1	1	
DNA-3-methyladenine glycosylase (EC 3.2.2.20)	0	0	1	0	0	1	1	1	1	1	
DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	1	1	1	1	1	1	2	1	1	2	
DNA-binding heavy metal response regulator	1	1	0	0	0	0	0	0	0	0	
DNA-binding protein HU	0	0	0	0	0	0	2	1	1	1	
DNA-binding protein HU-alpha	0	0	1	0	0	0	0	0	0	0	
DNA-cytosine methyltransferase (EC 2.1.1.37)	1	1	1	0	5	0	0	0	0	2	
DNA-damage-inducible protein J	2	3	0	0	0	0	0	0	0	0	
